GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2026-03-05T00:00:00,1,0022500899,2,4th Qtr             ,20260305/DALORL,1610612753,1610612742,2025,4,8:20,,FDSNFL,KFAA,,Kia Center,0,0
2026-03-05T00:00:00,2,0022500900,2,4th Qtr             ,20260305/UTAWAS,1610612764,1610612762,2025,4,8:22,,MNMT,KJZZ,,Capital One Arena,0,0
2026-03-05T00:00:00,3,0022500901,2,3rd Qtr             ,20260305/BKNMIA,1610612748,1610612751,2025,3,3:23,,FDSNSU,YES,,Kaseya Center,0,0
2026-03-05T00:00:00,4,0022500902,2,3rd Qtr             ,20260305/GSWHOU,1610612745,1610612744,2025,3,5:51,Amazon,,NBCSBA,Q35:51 - Amazon,Toyota Center,0,0
2026-03-05T00:00:00,5,0022500903,2,2nd Qtr             ,20260305/TORMIN,1610612750,1610612761,2025,2,4:23,,FDSNNO,SN,,Target Center,0,0
2026-03-05T00:00:00,6,0022500904,2,2nd Qtr             ,20260305/DETSAS,1610612759,1610612765,2025,2,0:28,,FDSNSW,FDSNDT,,Frost Bank Center,0,0
2026-03-05T00:00:00,7,0022500905,2,1st Qtr             ,20260305/CHIPHX,1610612756,1610612741,2025,1,11:34,,KTVK/KPHE,CHSN,,Mortgage Matchup Center,0,0
2026-03-05T00:00:00,8,0022500906,1,10:00 pm ET,20260305/LALDEN,1610612743,1610612747,2025,0,,Amazon,,SPECSN,Q0 - Amazon,Ball Arena,0,0
2026-03-05T00:00:00,9,0022500907,1,10:00 pm ET,20260305/NOPSAC,1610612758,1610612740,2025,0,,,NBCSCA,GCSEN,,Golden 1 Center,0,0
